Model,TBS2102
Firmware Version,v1.23

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.6e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-9.920e-04,0.15
-9.904e-04,0.15
-9.888e-04,0.15
-9.872e-04,0.2
-9.856e-04,0.25
-9.840e-04,0.25
-9.824e-04,0.25
-9.808e-04,0.3
-9.792e-04,0.3
-9.776e-04,0.3
-9.760e-04,0.3
-9.744e-04,0.35
-9.728e-04,0.35
-9.712e-04,0.4
-9.696e-04,0.4
-9.680e-04,0.4
-9.664e-04,0.45
-9.648e-04,0.45
-9.632e-04,0.5
-9.616e-04,0.5
-9.600e-04,0.5
-9.584e-04,0.55
-9.568e-04,0.55
-9.552e-04,0.6
-9.536e-04,0.6
-9.520e-04,0.65
-9.504e-04,0.65
-9.488e-04,0.7
-9.472e-04,0.7
-9.456e-04,0.7
-9.440e-04,0.75
-9.424e-04,0.75
-9.408e-04,0.75
-9.392e-04,0.75
-9.376e-04,0.8
-9.360e-04,0.85
-9.344e-04,0.85
-9.328e-04,0.9
-9.312e-04,0.9
-9.296e-04,0.9
-9.280e-04,0.9
-9.264e-04,0.9
-9.248e-04,0.9
-9.232e-04,0.95
-9.216e-04,1
-9.200e-04,1
-9.184e-04,1.05
-9.168e-04,1.05
-9.152e-04,1.05
-9.136e-04,1.05
-9.120e-04,1.1
-9.104e-04,1.1
-9.088e-04,1.1
-9.072e-04,1.1
-9.056e-04,1.2
-9.040e-04,1.15
-9.024e-04,1.15
-9.008e-04,1.2
-8.992e-04,1.25
-8.976e-04,1.25
-8.960e-04,1.25
-8.944e-04,1.3
-8.928e-04,1.3
-8.912e-04,1.3
-8.896e-04,1.3
-8.880e-04,1.35
-8.864e-04,1.3
-8.848e-04,1.4
-8.832e-04,1.4
-8.816e-04,1.4
-8.800e-04,1.4
-8.784e-04,1.4
-8.768e-04,1.45
-8.752e-04,1.45
-8.736e-04,1.45
-8.720e-04,1.5
-8.704e-04,1.5
-8.688e-04,1.5
-8.672e-04,1.5
-8.656e-04,1.5
-8.640e-04,1.55
-8.624e-04,1.55
-8.608e-04,1.6
-8.592e-04,1.6
-8.576e-04,1.6
-8.560e-04,1.6
-8.544e-04,1.6
-8.528e-04,1.65
-8.512e-04,1.65
-8.496e-04,1.65
-8.480e-04,1.7
-8.464e-04,1.65
-8.448e-04,1.7
-8.432e-04,1.7
-8.416e-04,1.7
-8.400e-04,1.75
-8.384e-04,1.75
-8.368e-04,1.75
-8.352e-04,1.75
-8.336e-04,1.75
-8.320e-04,1.8
-8.304e-04,1.75
-8.288e-04,1.8
-8.272e-04,1.8
-8.256e-04,1.85
-8.240e-04,1.85
-8.224e-04,1.85
-8.208e-04,1.85
-8.192e-04,1.9
-8.176e-04,1.85
-8.160e-04,1.9
-8.144e-04,1.85
-8.128e-04,1.85
-8.112e-04,1.9
-8.096e-04,1.85
-8.080e-04,1.9
-8.064e-04,1.9
-8.048e-04,1.95
-8.032e-04,1.95
-8.016e-04,1.9
-8.000e-04,1.95
-7.984e-04,1.95
-7.968e-04,1.95
-7.952e-04,1.95
-7.936e-04,1.95
-7.920e-04,1.95
-7.904e-04,1.95
-7.888e-04,2
-7.872e-04,1.95
-7.856e-04,2
-7.840e-04,2
-7.824e-04,2
-7.808e-04,2
-7.792e-04,2
-7.776e-04,2
-7.760e-04,2
-7.744e-04,2
-7.728e-04,2.05
-7.712e-04,2
-7.696e-04,2
-7.680e-04,2.05
-7.664e-04,2.05
-7.648e-04,2
-7.632e-04,2
-7.616e-04,2.05
-7.600e-04,2.05
-7.584e-04,2.05
-7.568e-04,2
-7.552e-04,2
-7.536e-04,2.05
-7.520e-04,2.05
-7.504e-04,2.05
-7.488e-04,2
-7.472e-04,2
-7.456e-04,2.05
-7.440e-04,2.05
-7.424e-04,2.05
-7.408e-04,2.05
-7.392e-04,2.05
-7.376e-04,2.05
-7.360e-04,2
-7.344e-04,2.05
-7.328e-04,2.05
-7.312e-04,2.05
-7.296e-04,2.05
-7.280e-04,2
-7.264e-04,2
-7.248e-04,2
-7.232e-04,2
-7.216e-04,2
-7.200e-04,2
-7.184e-04,2
-7.168e-04,2
-7.152e-04,1.95
-7.136e-04,2
-7.120e-04,1.95
-7.104e-04,2
-7.088e-04,1.95
-7.072e-04,1.95
-7.056e-04,1.95
-7.040e-04,1.95
-7.024e-04,1.95
-7.008e-04,1.95
-6.992e-04,1.95
-6.976e-04,1.9
-6.960e-04,1.9
-6.944e-04,1.9
-6.928e-04,1.9
-6.912e-04,1.9
-6.896e-04,1.85
-6.880e-04,1.9
-6.864e-04,1.9
-6.848e-04,1.9
-6.832e-04,1.9
-6.816e-04,1.85
-6.800e-04,1.85
-6.784e-04,1.8
-6.768e-04,1.85
-6.752e-04,1.8
-6.736e-04,1.8
-6.720e-04,1.85
-6.704e-04,1.8
-6.688e-04,1.8
-6.672e-04,1.75
-6.656e-04,1.8
-6.640e-04,1.7
-6.624e-04,1.7
-6.608e-04,1.75
-6.592e-04,1.7
-6.576e-04,1.7
-6.560e-04,1.65
-6.544e-04,1.7
-6.528e-04,1.65
-6.512e-04,1.65
-6.496e-04,1.6
-6.480e-04,1.65
-6.464e-04,1.6
-6.448e-04,1.6
-6.432e-04,1.6
-6.416e-04,1.6
-6.400e-04,1.6
-6.384e-04,1.55
-6.368e-04,1.55
-6.352e-04,1.55
-6.336e-04,1.5
-6.320e-04,1.5
-6.304e-04,1.5
-6.288e-04,1.5
-6.272e-04,1.5
-6.256e-04,1.45
-6.240e-04,1.4
-6.224e-04,1.45
-6.208e-04,1.4
-6.192e-04,1.4
-6.176e-04,1.4
-6.160e-04,1.35
-6.144e-04,1.35
-6.128e-04,1.35
-6.112e-04,1.3
-6.096e-04,1.35
-6.080e-04,1.25
-6.064e-04,1.3
